Suburb,Date,Number of Sales,Price
ABBOTSBURY (2176) (House),Oct '07 - Sep '08,58  ,522000  
ARNDELL PARK (2148) (House),Oct '07 - Sep '08,0  ,
ASQUITH (2077) (House),Oct '07 - Sep '08,37  ,550000  
BALGOWLAH (2093) (House),Oct '07 - Sep '08,69  ,12000000  
BAULKHAM HILLS (2153) (House),Oct '07 - Sep '08,381  ,525000  
BEXLEY (2207) (House),Oct '07 - Sep '08,144  ,534000  
BRIGHTON-LE-SANDS (2216) (House),Oct '07 - Sep '08,44  ,753000  
CANTERBURY (2193) (House),Oct '07 - Sep '08,39  ,563000  
CLOVELLY (2031) (House),Oct '07 - Sep '08,48  ,166000000  
DACEYVILLE (2032) (House),Oct '07 - Sep '08,7  ,655000  
DRUMMOYNE (2047) (House),Oct '07 - Sep '08,85  ,955000  
EDGECLIFF (2027) (House),Oct '07 - Sep '08,13  ,118000000  
FORESTVILLE (2087) (House),Oct '07 - Sep '08,100  ,780000  
FRESHWATER (2096) (House),Oct '07 - Sep '08,97  ,105000000  
JORDAN SPRINGS (NA) (House),Oct '07 - Sep '08,0  ,
KOGARAH (2217) (House),Oct '07 - Sep '08,54  ,599000  
LINDFIELD (2070) (House),Oct '07 - Sep '08,106  ,138000000  
MANLY (2095) (House),Oct '07 - Sep '08,67  ,144000000  
MENAI (2234) (House),Oct '07 - Sep '08,108  ,598000  
MONTEREY (2217) (House),Oct '07 - Sep '08,32  ,842000  
NEWINGTON (2127) (House),Oct '07 - Sep '08,84  ,669000  
OYSTER BAY (2225) (House),Oct '07 - Sep '08,83  ,640000  
PENRITH (2750) (House),Oct '07 - Sep '08,113  ,312000  
PUNCHBOWL (2196) (House),Oct '07 - Sep '08,132  ,394000  
RAMSGATE (2217) (House),Oct '07 - Sep '08,11  ,618000  
RIVERWOOD (2210) (House),Oct '07 - Sep '08,84  ,452000  
ROSEHILL (2142) (House),Oct '07 - Sep '08,10  ,410000  
SEVEN HILLS (2147) (House),Oct '07 - Sep '08,239  ,360000  
ST PETERS (2044) (House),Oct '07 - Sep '08,38  ,556000  
SYDENHAM (2044) (House),Oct '07 - Sep '08,10  ,505000  
TEMPE (2044) (House),Oct '07 - Sep '08,44  ,512000  
VILLAWOOD (2163) (House),Oct '07 - Sep '08,45  ,285000  
WATSONS BAY (2030) (House),Oct '07 - Sep '08,6  ,321000000  
WOLLI CREEK (2205) (House),Oct '07 - Sep '08,2  ,462000  
WOOLWICH (2110) (House),Oct '07 - Sep '08,6  ,286000000  
ALEXANDRIA (2015) (House),Oct '07 - Sep '08,87  ,720000  
ANGUS (2765) (House),Oct '07 - Sep '08,1  ,135000  
ARTARMON (2064) (House),Oct '07 - Sep '08,38  ,136000000  
AUBURN (2144) (House),Oct '07 - Sep '08,212  ,398000  
