Date,Suburb,Postcode,No.Sales,Price
2022,ABBOTSBURY ,2176,33  ,145000000  
2022,ARNDELL PARK ,2148,0  ,
2022,ASQUITH ,2077,32  ,176000000  
2022,BALGOWLAH ,2093,57  ,34000000  
2022,BAULKHAM HILLS ,2153,277  ,172000000  
2022,BEXLEY ,2207,131  ,164000000  
2022,BRIGHTON-LE-SANDS ,2216,36  ,185000000  
2022,CANTERBURY ,2193,47  ,152000000  
2022,CLOVELLY ,2031,33  ,5000000  
2022,DACEYVILLE ,2032,8  ,151000000  
2022,DRUMMOYNE ,2047,75  ,281000000  
2022,EDGECLIFF ,2027,14  ,34000000  
2022,FORESTVILLE ,2087,72  ,231000000  
2022,FRESHWATER ,2096,43  ,381000000  
2022,JORDAN SPRINGS ,2747,163  ,951000  
2022,KOGARAH ,2217,49  ,172000000  
2022,LINDFIELD ,2070,68  ,394000000  
2022,MANLY ,2095,48  ,451000000  
2022,MENAI ,2234,73  ,158000000  
2022,MONTEREY ,2217,25  ,258000000  
2022,NEWINGTON ,2127,26  ,17000000  
2022,OYSTER BAY ,2225,64  ,177000000  
2022,PENRITH ,2750,120  ,910000  
2022,PUNCHBOWL ,2196,125  ,117000000  
2022,RAMSGATE ,2217,12  ,198000000  
2022,RIVERWOOD ,2210,65  ,126000000  
2022,ROSEHILL ,2142,5  ,143000000  
2022,SEVEN HILLS ,2147,186  ,102000000  
2022,ST PETERS ,2044,49  ,16000000  
2022,SYDENHAM ,2044,19  ,143000000  
2022,TEMPE ,2044,41  ,161000000  
2022,VILLAWOOD ,2163,56  ,870000  
2022,WATSONS BAY ,2030,9  ,1238000000  
2022,WOLLI CREEK ,2205,0  ,
2022,WOOLWICH ,2110,6  ,99000000  
2022,ALEXANDRIA ,2015,51  ,2000000  
2022,ANGUS ,2765,2  ,749000  
2022,ARTARMON ,2064,31  ,375000000  
2022,AUBURN ,2144,144  ,11000000  
2022,BALMAIN EAST ,2041,12  ,417000000  
2022,BEACON HILL ,2100,62  ,231000000  
2022,BIRCHGROVE ,2041,37  ,348000000  
2022,BONDI JUNCTION ,2022,60  ,279000000  
2022,CARSS PARK ,2221,17  ,27000000  
2022,COLLAROY ,2097,35  ,368000000  
2022,DARLINGHURST ,2010,68  ,226000000  
2022,DULWICH HILL ,2203,89  ,194000000  
2022,ENMORE ,2042,34  ,216000000  
2022,FRENCHS FOREST ,2086,150  ,223000000  
2022,GREENACRE ,2190,202  ,125000000  
2022,KELLYVILLE ,2155,291  ,173000000  
2022,KURNELL ,2231,24  ,188000000  
2022,LIVERPOOL ,2170,120  ,987000  
2022,MAROUBRA ,2035,173  ,275000000  
2022,MILLERS POINT ,2000,2  ,169000000  
2022,MOORE PARK ,2021,0  ,
2022,NEWPORT ,2106,86  ,325000000  
2022,PADDINGTON ,2021,199  ,319000000  
2022,PENSHURST ,2222,68  ,18000000  
2022,PYMBLE ,2073,130  ,363000000  
2022,RANDWICK ,2031,113  ,34000000  
2022,ROCKDALE ,2216,43  ,16000000  
2022,ROUSE HILL ,2155,112  ,151000000  
2022,SILVERWATER ,2128,15  ,16000000  
2022,STANMORE ,2048,66  ,224000000  
2022,SYDNEY OLYMPIC PARK ,2127,0  ,
2022,THE ROCKS ,2000,1  ,15001000000  
2022,WAHROONGA ,2076,180  ,275000000  
2022,WAVERLEY ,2024,27  ,302000000  
2022,WOOLLAHRA ,2025,57  ,458000000  
2022,YAGOONA ,2199,157  ,11000000  
2022,ALFORDS POINT ,2234,30  ,162000000  
2022,ANNANDALE ,2038,113  ,228000000  
2022,ASHBURY ,2193,29  ,2000000  
2022,AUSTRAL ,2179,170  ,938000  
2022,BALMAIN ,2041,119  ,27000000  
2022,BEACONSFIELD ,2015,18  ,172000000  
2022,BLACKTOWN ,2148,447  ,915000  
2022,BROOKVALE ,2100,18  ,281000000  
2022,CASULA ,2170,158  ,1000000  
2022,COOGEE ,2034,34  ,368000000  
2022,DEE WHY ,2099,58  ,258000000  
2022,EARLWOOD ,2206,152  ,186000000  
2022,ERSKINEVILLE ,2043,77  ,168000000  
2022,GLADESVILLE ,2111,111  ,262000000  
2022,GREENWICH ,2065,42  ,381000000  
2022,KILLARA ,2071,73  ,41000000  
2022,LA PEROUSE ,2036,5  ,444000000  
2022,LONGUEVILLE ,2066,17  ,638000000  
2022,MARRICKVILLE ,2204,186  ,194000000  
2022,MINCHINBURY ,2770,57  ,950000  
2022,MOUNT DRUITT ,2770,74  ,932000  
2022,NORTH BONDI ,2026,58  ,451000000  
2022,PADSTOW ,2211,150  ,135000000  
2022,PETERSHAM ,2049,78  ,19000000  
2022,PYRMONT ,2009,7  ,225000000  
2022,REDFERN ,2016,93  ,175000000  
2022,ROSE BAY ,2029,47  ,56000000  
2022,RUSHCUTTERS BAY ,2011,0  ,
2022,ST ANDREWS ,2566,72  ,813000  
2022,STRATHFIELD ,2135,139  ,35000000  
2022,SYLVANIA ,2224,87  ,18000000  
2022,TURRAMURRA ,2074,123  ,33000000  
2022,WAREEMBA ,2046,12  ,277000000  
2022,WESTMEAD ,2145,32  ,166000000  
2022,WOOLLOOMOOLOO ,2011,5  ,2000000  
2022,YENNORA ,2161,12  ,952000  
2022,ALLAMBIE HEIGHTS ,2100,64  ,26000000  
2022,ANNANGROVE ,2156,10  ,365000000  
2022,ASHCROFT ,2168,35  ,812000  
2022,AVALON BEACH ,2107,124  ,316000000  
2022,BANKSTOWN ,2200,118  ,123000000  
2022,BELLA VISTA ,2153,80  ,231000000  
2022,BONDI ,2026,41  ,47000000  
2022,CABRAMATTA ,2166,70  ,107000000  
2022,CHATSWOOD ,2067,99  ,313000000  
2022,CRONULLA ,2230,59  ,32000000  
2022,DOUBLE BAY ,2028,19  ,61000000  
2022,EASTERN CREEK ,2766,14  ,938000  
2022,FAIRFIELD ,2165,96  ,102000000  
2022,GLEBE ,2037,92  ,244000000  
2022,GYMEA ,2227,62  ,179000000  
2022,KINGSFORD ,2032,68  ,28000000  
2022,LAKEMBA ,2195,45  ,111000000  
2022,MACQUARIE PARK ,2113,0  ,
2022,MASCOT ,2020,75  ,184000000  
2022,MINTO ,2566,109  ,875000  
2022,NARRABEEN ,2101,18  ,317000000  
2022,NORTH SYDNEY ,2060,18  ,335000000  
2022,PAGEWOOD ,2035,31  ,25000000  
2022,POINT PIPER ,2027,4  ,1875000000  
2022,QUAKERS HILL ,2763,271  ,107000000  
2022,REVESBY ,2212,162  ,134000000  
2022,ROSEBERY ,2018,44  ,229000000  
2022,RYDE ,2112,161  ,239000000  
2022,ST IVES ,2075,185  ,3000000  
2022,SURRY HILLS ,2010,83  ,212000000  
2022,TAMARAMA ,2026,13  ,1105000000  
2022,ULTIMO ,2007,8  ,184000000  
2022,WARWICK FARM ,2170,16  ,853000  
2022,WILLOUGHBY ,2068,72  ,337000000  
2022,WOOLOOWARE ,2230,39  ,265000000  
2022,YOWIE BAY ,2228,25  ,262000000  
2022,ALLAWAH ,2218,5  ,123000000  
2022,ARCADIA ,2159,12  ,345000000  
2022,ASHFIELD ,2131,97  ,204000000  
2022,BADGERYS CREEK ,2555,3  ,95000000  
2022,BARANGAROO ,2000,0  ,
2022,BELLEVUE HILL ,2023,50  ,846000000  
2022,BONDI BEACH ,2026,32  ,3790000
2022,CAMDEN ,2570,54  ,1110000
2022,CHIFLEY ,2036,27  ,2310000
2022,CROWS NEST ,2065,37  ,292000000  
2022,DOVER HEIGHTS ,2030,35  ,635000000 
2022,EASTGARDENS ,2036,9  ,2000000  
2022,FIVE DOCK ,2046,61  ,269000000 
2022,GLENHAVEN ,2156,82  ,229000000 
2022,ILLAWONG ,2234,71  ,173000000 
2022,KINGSGROVE ,2208,94  ,165000000 
2022,LANE COVE ,2066,57  ,3000000 
2022,MALABAR ,2036,19  ,355000000  
2022,MATRAVILLE ,2036,60  ,255000000  
2022,MIRANDA ,2228,126  ,176000000 
2022,NEUTRAL BAY ,2089,34  ,315000000  
2022,OATLEY ,2223,78  ,215000000  
2022,PARRAMATTA ,2150,36  ,15000000 
2022,POTTS POINT ,2011,8  ,422000000 
2022,QUEENS PARK ,2022,23  ,42000000  
2022,RIVERVIEW ,2066,35  ,3660000
2022,ROSEVILLE ,2069,73  ,38000000  
2022,SANS SOUCI ,2219,77  ,218000000  
2022,ST MARYS ,2760,108  ,880000  
2022,SUTHERLAND ,2232,37  ,149000000  
2022,TAREN POINT ,2229,18  ,24000000  
2022,VAUCLUSE ,2030,58  ,89000000  
2022,WATERLOO ,2017,10  ,132000000  
2022,WINDSOR ,2756,36  ,954000  
2022,WINDSOR ,2756,36  ,954000  
2022,ZETLAND ,2017,15  ,19000000  
2022,AMBARVALE ,2560,83  ,770000  
2022,ARNCLIFFE ,2205,52  ,155000000 
