Date,Suburb,Postcode,No.Sales,Price
2008,ABBOTSBURY ,2176,58  ,522000  
2008,ARNDELL PARK ,2148,0  ,
2008,ASQUITH ,2077,37  ,550000  
2008,BALGOWLAH ,2093,69  ,12000000  
2008,BAULKHAM HILLS ,2153,381  ,525000  
2008,BEXLEY ,2207,144  ,534000  
2008,BRIGHTON-LE-SANDS ,2216,44  ,753000  
2008,CANTERBURY ,2193,39  ,563000  
2008,CLOVELLY ,2031,48  ,166000000  
2008,DACEYVILLE ,2032,7  ,655000  
2008,DRUMMOYNE ,2047,85  ,955000  
2008,EDGECLIFF ,2027,13  ,118000000  
2008,FORESTVILLE ,2087,100  ,780000  
2008,FRESHWATER ,2096,97  ,105000000  
2008,KOGARAH ,2217,54  ,599000  
2008,LINDFIELD ,2070,106  ,138000000  
2008,MANLY ,2095,67  ,144000000  
2008,MENAI ,2234,108  ,598000  
2008,MONTEREY ,2217,32  ,842000  
2008,NEWINGTON ,2127,84  ,669000  
2008,OYSTER BAY ,2225,83  ,640000  
2008,PENRITH ,2750,113  ,312000  
2008,PUNCHBOWL ,2196,132  ,394000  
2008,RAMSGATE ,2217,11  ,618000  
2008,RIVERWOOD ,2210,84  ,452000  
2008,ROSEHILL ,2142,10  ,410000  
2008,SEVEN HILLS ,2147,239  ,360000  
2008,ST PETERS ,2044,38  ,556000  
2008,SYDENHAM ,2044,10  ,505000  
2008,TEMPE ,2044,44  ,512000  
2008,VILLAWOOD ,2163,45  ,285000  
2008,WATSONS BAY ,2030,6  ,321000000  
2008,WOLLI CREEK ,2205,2  ,462000  
2008,WOOLWICH ,2110,6  ,286000000  
2008,ALEXANDRIA ,2015,87  ,720000  
2008,ANGUS ,2765,1  ,135000  
2008,ARTARMON ,2064,38  ,136000000  
2008,AUBURN ,2144,212  ,398000  
2008,BALMAIN EAST ,2041,22  ,146000000  
2008,BEACON HILL ,2100,78  ,778000  
2008,BIRCHGROVE ,2041,50  ,126000000  
2008,BONDI JUNCTION ,2022,84  ,101000000  
2008,CARSS PARK ,2221,14  ,900000  
2008,COLLAROY ,2097,67  ,129000000  
2008,DARLINGHURST ,2010,75  ,865000  
2008,DULWICH HILL ,2203,94  ,652000  
2008,ENMORE ,2042,79  ,635000  
2008,FRENCHS FOREST ,2086,176  ,776000  
2008,GREENACRE ,2190,217  ,420000  
2008,KELLYVILLE ,2155,261  ,550000  
2008,KURNELL ,2231,39  ,505000  
2008,LIVERPOOL ,2170,115  ,323000  
2008,MAROUBRA ,2035,227  ,875000  
2008,MILLERS POINT ,2000,0  ,
2008,MOORE PARK ,2021,0  ,
2008,NEWPORT ,2106,118  ,1000000  
2008,PADDINGTON ,2021,247  ,13000000  
2008,PENSHURST ,2222,76  ,632000  
2008,PYMBLE ,2073,167  ,113000000  
2008,RANDWICK ,2031,166  ,126000000  
2008,ROCKDALE ,2216,55  ,525000  
2008,ROUSE HILL ,2155,129  ,539000  
2008,SILVERWATER ,2128,16  ,440000  
2008,STANMORE ,2048,80  ,810000  
2008,SYDNEY OLYMPIC PARK ,2127,0  ,
2008,THE ROCKS ,2000,0  ,
2008,WAHROONGA ,2076,197  ,835000  
2008,WAVERLEY ,2024,40  ,127000000  
2008,WOOLLAHRA ,2025,93  ,18000000  
2008,YAGOONA ,2199,162  ,370000  
2008,ALFORDS POINT ,2234,23  ,705000  
2008,ANNANDALE ,2038,140  ,776000  
2008,ASHBURY ,2193,31  ,700000  
2008,AUSTRAL ,2179,12  ,845000  
2008,BALMAIN ,2041,151  ,980000  
2008,BEACONSFIELD ,2015,18  ,548000  
2008,BLACKTOWN ,2148,405  ,319000  
2008,BROOKVALE ,2100,5  ,822000  
2008,CASULA ,2170,162  ,385000  
2008,COOGEE ,2034,51  ,133000000  
2008,DEE WHY ,2099,81  ,880000  
2008,EARLWOOD ,2206,188  ,642000  
2008,ERSKINEVILLE ,2043,89  ,656000  
2008,GLADESVILLE ,2111,100  ,871000  
2008,GREENWICH ,2065,48  ,142000000  
2008,KILLARA ,2071,100  ,137000000  
2008,LA PEROUSE ,2036,3  ,936000  
2008,LONGUEVILLE ,2066,29  ,205000000  
2008,MARRICKVILLE ,2204,241  ,600000  
2008,MINCHINBURY ,2770,59  ,360000  
2008,MOUNT DRUITT ,2770,127  ,302000  
2008,NORTH BONDI ,2026,72  ,148000000  
2008,PADSTOW ,2211,120  ,465000  
2008,PETERSHAM ,2049,92  ,726000  
2008,PYRMONT ,2009,23  ,748000  
2008,REDFERN ,2016,95  ,650000  
2008,ROSE BAY ,2029,62  ,2000000  
2008,RUSHCUTTERS BAY ,2011,4  ,782000  
2008,ST ANDREWS ,2566,66  ,285000  
2008,STRATHFIELD ,2135,199  ,105000000  
2008,SYLVANIA ,2224,97  ,645000  
2008,TURRAMURRA ,2074,158  ,940000  
2008,WAREEMBA ,2046,11  ,900000  
2008,WESTMEAD ,2145,40  ,500000  
2008,WOOLLOOMOOLOO ,2011,15  ,610000  
2008,YENNORA ,2161,18  ,282000  
2008,ALLAMBIE HEIGHTS ,2100,80  ,830000  
2008,ANNANGROVE ,2156,10  ,995000  
2008,ASHCROFT ,2168,42  ,258000  
2008,AVALON BEACH ,2107,139  ,101000000  
2008,BANKSTOWN ,2200,141  ,422000  
2008,BELLA VISTA ,2153,116  ,732000  
2008,BONDI ,2026,39  ,136000000  
2008,CABRAMATTA ,2166,102  ,360000  
2008,CHATSWOOD ,2067,135  ,1000000  
2008,CRONULLA ,2230,63  ,101000000  
2008,DOUBLE BAY ,2028,29  ,275000000  
2008,EASTERN CREEK ,2766,15  ,265000  
2008,FAIRFIELD ,2165,125  ,328000  
2008,GLEBE ,2037,98  ,844000  
2008,GYMEA ,2227,55  ,585000  
2008,KINGSFORD ,2032,101  ,880000  
2008,LAKEMBA ,2195,54  ,390000  
2008,MACQUARIE PARK ,2113,2  ,309000000  
2008,MASCOT ,2020,63  ,609000  
2008,MINTO ,2566,91  ,270000  
2008,NARRABEEN ,2101,32  ,985000  
2008,NORTH SYDNEY ,2060,31  ,114000000  
2008,PAGEWOOD ,2035,43  ,845000  
2008,POINT PIPER ,2027,4  ,2127000000  
2008,QUAKERS HILL ,2763,335  ,382000  
2008,REVESBY ,2212,130  ,452000  
2008,ROSEBERY ,2018,51  ,641000  
2008,RYDE ,2112,170  ,716000  
2008,ST IVES ,2075,199  ,956000  
2008,SURRY HILLS ,2010,151  ,772000  
2008,TAMARAMA ,2026,19  ,44000000  
2008,ULTIMO ,2007,18  ,638000  
2008,WARWICK FARM ,2170,18  ,272000  
2008,WILLOUGHBY ,2068,82  ,101000000  
2008,WOOLOOWARE ,2230,40  ,804000  
2008,YOWIE BAY ,2228,31  ,875000  
2008,ALLAWAH ,2218,13  ,598000  
2008,ARCADIA ,2159,20  ,119000000  
2008,ASHFIELD ,2131,89  ,700000  
2008,BADGERYS CREEK ,2555,1  ,107000000  
2008,BARANGAROO ,2000,0  ,
2008,BELLEVUE HILL ,2023,74  ,345000000  
2008,BONDI BEACH ,2026,44  ,128000000  
2008,CAMDEN ,2570,55  ,355000  
2008,CHIFLEY ,2036,22  ,792000  
2008,CROWS NEST ,2065,75  ,910000  
2008,DOVER HEIGHTS ,2030,55  ,246000000  
2008,EASTGARDENS ,2036,11  ,700000  
2008,FIVE DOCK ,2046,76  ,801000  
2008,GLENHAVEN ,2156,70  ,762000  
2008,ILLAWONG ,2234,68  ,676000  
2008,KINGSGROVE ,2208,136  ,580000  
2008,LANE COVE ,2066,69  ,111000000  
