FID,doe_school_code,deewr_id,school_name,level_of_schooling,school_speciality_type,year_ranges,preschool_indicator,school_gender,teaching_staff,non_teaching_staff,total_enrolments,phone,school_email,fax,lga,electorate,federal_electorate,address,suburb,postcode,latitude,longitude,the_geom
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-669e,1001,4402,Abbotsford Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,29,8,589,9713 6220,abbotsford-p.School@det.nsw.edu.au,9712 1825,Canada Bay (A),Drummoyne,Reid,350 Great North Rd,Abbotsford ,2046,-33.8527,151.1312,POINT (-33.85272979736328 151.13121032714844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-669d,1002,9333,Aberdeen Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,10,5,220,6543 7271,aberdeen-p.School@det.nsw.edu.au,6543 7712,Upper Hunter Shire (A),Upper Hunter,New England,Segenhoe St,Aberdeen,2336,-32.1661,150.8881,POINT (-32.166099548339844 150.88809204101562)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-669c,1003,9299,Abermain Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,13,5,228,4930 4210,abermain-p.school@det.nsw.edu.au,4930 4319,Cessnock (C),Cessnock,Paterson,Goulburn St,Abermain ,2326,-32.8089,151.4265,POINT (-32.808921813964844 151.42649841308594)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-669b,1007,10425,Adaminaby Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,1,2,20,6454 2265,adaminaby-p.School@det.nsw.edu.au,6454 2552,Snowy River (A),Monaro,Eden-Monaro,9 Cosgrove Street,Adaminaby,2629,-35.9933,148.7767,POINT (-35.99329376220703 148.77671813964844)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-669a,1008,9043,Adamstown Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,12,5,235,4957 1114,adamstown-p.school@det.nsw.edu.au,4956 2446,Newcastle (C),Newcastle,Newcastle,Bryant St,Adamstown ,2289,-32.9322,151.731,POINT (-32.932212829589844 151.73097229003906)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6699,1009,10667,Adelong Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,4,3,76,6946 2053,adelong-p.School@det.nsw.edu.au,6946 2199,Tumut Shire (A),Wagga Wagga,Eden-Monaro,Gilmore St,Adelong ,2729,-35.3123,148.0628,POINT (-35.31233215332031 148.06280517578125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6698,1015,10020,Albion Park Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,22,12,425,4256 1244,albionpk-p.School@det.nsw.edu.au,4256 4160,Shellharbour (C),Kiama,Whitlam,Tongarra & Hamilton Rds,Albion Park ,2527,-34.5703,150.7726,POINT (-34.570255279541016 150.77261352539062)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6697,1016,9357,Timbumburi Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,5,2,131,6767 0232,timbumburi-p.School@det.nsw.edu.au,6767 0245,Tamworth Regional (A),Tamworth,New England,542 Kia Ora Lane,Timbumburi ,2340,-31.2038,150.9156,POINT (-31.203781127929688 150.91563415527344)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6696,1017,10441,Albury Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,30,4,593,02 6021 3849,albury-p.School@det.nsw.edu.au,02 6041 1265,Albury (C),Albury,Farrer,481 David St,Albury ,2640,-36.0825,146.9193,POINT (-36.082454681396484 146.91925048828125)
nsw_school_locations_2016.fid-50b50329_1830bcd77b8_-6695,1019,10442,Albury West Public School,Primary School,Comprehensive,Kinder to Year 6,N,Coed,11,3,104,6021 2288,alburywest-p.School@det.nsw.edu.au,6041 3783,Albury (C),Albury,Farrer,Mott St,Albury ,2640,-36.0778,146.8956,POINT (-36.07783126831055 146.8955535888672)
