,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
0,Abbotsford Public School,Primary School,Coed,Abbotsford ,-33.8527,151.1312
1,Aberdeen Public School,Primary School,Coed,Aberdeen,-32.1661,150.8881
2,Abermain Public School,Primary School,Coed,Abermain ,-32.8089,151.4265
3,Adaminaby Public School,Primary School,Coed,Adaminaby,-35.9933,148.7767
4,Adamstown Public School,Primary School,Coed,Adamstown ,-32.9322,151.731
5,Adelong Public School,Primary School,Coed,Adelong ,-35.3123,148.0628
6,Albion Park Public School,Primary School,Coed,Albion Park ,-34.5703,150.7726
7,Timbumburi Public School,Primary School,Coed,Timbumburi ,-31.2038,150.9156
8,Albury Public School,Primary School,Coed,Albury ,-36.0825,146.9193
9,Albury West Public School,Primary School,Coed,Albury ,-36.0778,146.8956
10,Alma Public School,Primary School,Coed,Broken Hill ,-31.9822,141.4624
11,Alstonville Public School,Primary School,Coed,Alstonville ,-28.8385,153.4382
12,Anna Bay Public School,Primary School,Coed,Anna Bay ,-32.7764,152.0899
13,Annandale Public School,Primary School,Coed,Annandale ,-33.8858,151.1696
14,Annandale North Public School,Primary School,Coed,Annandale ,-33.8779,151.1718
15,Appin Public School,Primary School,Coed,Appin,-34.1984,150.7877
16,Arcadia Public School,Primary School,Coed,Arcadia,-33.6235,151.051
17,Ardlethan Central School,Central/Community School,Coed,Ardlethan ,-34.3541,146.9006
18,Ariah Park Central School,Central/Community School,Coed,Ariah Park ,-34.3469,147.218
19,Armidale City Public School,Primary School,Coed,Armidale ,-30.5195,151.6641
20,Drummond Memorial Public School,Primary School,Coed,Armidale,-30.5115,151.6507
21,Artarmon Public School,Primary School,Coed,Artarmon ,-33.8112,151.186
22,Ashbury Public School,Primary School,Coed,Ashbury,-33.8988,151.1194
23,Ashfield Public School,Primary School,Coed,Ashfield ,-33.8897,151.1282
24,Ashford Central School,Central/Community School,Coed,Ashford ,-29.3213,151.0946
25,Asquith Public School,Primary School,Coed,Asquith,-33.6857,151.1122
26,Attunga Public School,Primary School,Coed,Attunga ,-30.9304,150.8466
27,Auburn North Public School,Primary School,Coed,Auburn ,-33.8417,151.0386
28,Auburn West Public School,Primary School,Coed,Auburn ,-33.8609,151.0198
29,Austinmer Public School,Primary School,Coed,Austinmer ,-34.3054,150.935
30,Austral Public School,Primary School,Coed,Austral,-33.9345,150.8126
31,Avoca Public School,Primary School,Coed,Avoca,-34.6127,150.4798
32,Avoca Beach Public School,Primary School,Coed,Avoca Beach,-33.4712,151.4307
33,Awaba Public School,Primary School,Coed,Awaba,-33.0106,151.5381
34,Colo Vale Public School,Primary School,Coed,Colo Vale ,-34.4013,150.4762
35,Bald Blair Public School,Primary School,Coed,Guyra ,-30.2299,151.785
36,Seaforth Public School,Primary School,Coed,Seaforth ,-33.7933,151.2512
